title,abbreviation,issn_list
Die Aktiengesellschaft,AG,"{2366-097X,0002-3752,1611-1915}"
Archiv des Volkerrechts,AVR,"{1868-7121,0003-892X}"
Archiv für die civilistische Praxis,AcP,"{1868-7113,0003-8997}"
Arbeit und Recht,AuR,"{2942-0598,0003-7648}"
Archiv des öffentlichen Rechts,AöR,"{0003-8911,1868-6796}"
Betriebs-Berater,BB,"{0947-0581,0340-7918}"
Computer und Recht,CR,"{0179-1990,2194-4172,1431-8180}"
DER BETRIEB,DB,{0005-9935}
Die öffentliche Verwaltung,DOV,{0029-859X}
Deutsches Steuerrecht,DStR,"{0012-1347,0949-7676}"
Deutsches Verwaltungsblatt,DVBI,"{0012-1363,2366-0651}"
Europäische Grundrechtezeitschrift,EuGRZ,"{2750-2767,0341-9800}"
Europarecht,EuR,"{0531-2485,2942-3198}"
Europäische Zeitschrift für Wirtschaftsrecht,EuZW,{0937-7204}
Zeitschrift für das gesamte Familienrecht,FamRZ,{0044-2410}
Goltdammers Archiv für  Strafrecht,GA,{0017-1956}
GmbH-Rundschau,GmbHR,"{1438-468X,2366-1062,0016-3570}"
Juristische Arbeitsblätter,JA,{0022-6904}
Juristische Rundschau,JR,"{0022-6920,1612-7064}"
Juristische Ausbildung,JURA,"{1612-7021,0170-1452}"
JuristenZeitung,JZ,"{0022-6882,1868-7067}"
Juristische Schulung,JuS,{0022-6939}
Kritische Justiz,KJ,"{2942-3295,0023-4834}"
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,"{2364-6071,0179-2830,2193-7869}"
Monatsschrift für Deutsches Recht,MDR,"{0340-1812,2194-4202}"
Neue juristische Wochenschrift,NJW,"{0341-1915,0341-1907}"
Neue Zeitschrift für Strafrecht,NStZ,{0720-1753}
Neue Zeitschrift für Verwaltungsrecht,NVwZ,{0721-880X}
Neue Zeitschrift für Arbeitsrecht,NZA,{0943-7525}
Neue Zeitschrift für Gesellschaftsrecht,NZG,{1434-9272}
Neue Zeitschrift for Sozialrecht,NZS,{0941-7915}
Rabels Zeitschrift für ausländisches und internationales Privatrecht,RabelsZ,"{0033-7250,1868-7059}"
Recht der Arbeit,RdA,"{0342-1945,1028-4656}"
Der Strafverteidiger,StV,"{2366-2166,0720-1605}"
Der Staat,Staat,"{1865-5203,0038-884X}"
Strafverteidigerforum,StraFo,{0947-9252}
Die Verwaltung,Verw,"{0042-4498,1865-5211}"
Verwaltungsarchiv,VerwArch,{0042-4501}
Zeitschrift für Wirtschafts- und Bankrecht,WM,{0342-6971}
Zeitschrift für  Arbeitsrecht,ZFA,"{0342-328X,0943-7525}"
Zeitschrift für Gesellschaftsrecht (Zeitschrift für Unternehmens- und Gesellschaftsrecht),ZGR,"{1612-7048,0340-2479}"
Zeitschrift für das gesamte Handels- und Wirtschaftsrecht,ZHR,{0044-2437}
Zeitschrift für Wirtschaftsrecht,ZIP,{0723-9416}
Zeitschrift für Strafrechtsdogmatik,ZIS,{1863-6470}
Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte,ZRG,"{2304-4934,0323-4096,2304-4861,0323-4142,2304-4896,0323-4045}"
Zeitschrift für Rechtspolitik,ZRP,{0514-6496}
Zeitschrift für die gesamte Strafrechtswissenschaft,ZStW,"{0084-5310,1612-703X}"
Zeitschrift für Zivilprozess,ZZP,"{0342-3468,2366-2077}"
Zeitschrift für ausländisches  offentliches Recht und Volkerrecht,ZaoRV,"{0044-2348,2942-3562}"
Zeitschrift für europäisches Privatrecht,ZeuP,{0943-3929}
Zeitschrift für Wirtschafts- und Steuerstrafrecht,wistra,{0721-6890}
